"ng-binding","pbi src","st-ply href","st-ply-name","st-ply-tm-name","ng-binding 2","ng-binding 3","ng-binding 4","ng-binding 5","ng-binding 6","ng-binding 7","ng-binding 8","ng-binding 9","ng-binding 10","ng-binding 11","ng-binding 12","np-ico src"
"84","https://scores.iplt20.com/ipl/playerimages/Anshul%20Kamboj.png?v=1","https://www.iplt20.com/teams/mumbai-indians/squad-details/20702","Anshul Kamboj","MI","2","3","3","10.0","114","24/1","57.00","11.40","30.00","0","0","https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1"
"85","https://scores.iplt20.com/ipl/playerimages/Shashank%20Singh.png?v=1","https://www.iplt20.com/teams/punjab-kings/squad-details/3261","Shashank Singh","PBKS","1","14","1","1.0","5","5/1","5.00","5.00","6.00","0","0","https://scores.iplt20.com/ipl/teamlogos/PBKS.png?v=1"
"86","https://scores.iplt20.com/ipl/playerimages/Nathan%20Ellis.png?v=1","https://www.iplt20.com/teams/punjab-kings/squad-details/17118","Nathan Ellis","PBKS","1","1","1","4.0","24","24/1","24.00","6.00","24.00","0","0","https://scores.iplt20.com/ipl/teamlogos/PBKS.png?v=1"
"87","https://scores.iplt20.com/ipl/playerimages/M%20Siddharth.png?v=1","https://www.iplt20.com/teams/lucknow-super-giants/squad-details/7119","M Siddharth","LSG","1","3","3","9.0","71","21/1","71.00","7.88","54.00","0","0","https://scores.iplt20.com/ipl/teamlogos/LSG.png?v=1"
"88","https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1","https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/20728","Vijayakanth Viyaskanth","SRH","1","3","3","10.0","86","37/1","86.00","8.60","60.00","0","0","https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1"
"89","https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1","https://www.iplt20.com/teams/chennai-super-kings/squad-details/20730","Richard Gleeson","CSK","1","2","2","7.5","71","30/1","71.00","9.06","47.00","0","0","https://scores.iplt20.com/ipl/teamlogos/CSK.png?v=1"
"90","https://scores.iplt20.com/ipl/playerimages/Matt%20Henry.png?v=1","https://www.iplt20.com/teams/lucknow-super-giants/squad-details/1505","Matt Henry","LSG","1","4","4","12.0","110","28/1","110.00","9.16","72.00","0","0","https://scores.iplt20.com/ipl/teamlogos/LSG.png?v=1"
"91","https://scores.iplt20.com/ipl/playerimages/Amit%20Mishra.png?v=1","https://www.iplt20.com/teams/lucknow-super-giants/squad-details/30","Amit Mishra","LSG","1","1","1","2.0","20","20/1","20.00","10.00","12.00","0","0","https://scores.iplt20.com/ipl/teamlogos/LSG.png?v=1"
"92","https://scores.iplt20.com/ipl/playerimages/Mayank%20Dagar.png?v=1","https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/2968","Mayank Dagar","RCB","1","5","5","11.5","120","23/1","120.00","10.14","71.00","0","0","https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1"
"93","https://scores.iplt20.com/ipl/playerimages/Arshad%20Khan.png?v=1","https://www.iplt20.com/teams/lucknow-super-giants/squad-details/20599","Arshad Khan","LSG","1","4","4","10.1","114","45/1","114.00","11.21","61.00","0","0","https://scores.iplt20.com/ipl/teamlogos/LSG.png?v=1"
